place_origin,place_dest,route_prob_fix_origin,haversine_miles
Rimini,Ravenna,0.24,30.69634868
Ravenna,Rome,0.216216216,175.0589085
Rome,Sora,0.000708717,59.44642916
Sora,Rome,1,59.44642916
Rome,Albano,0.002126152,14.54185507
Albano,Frascati,0.25,5.666913072
Frascati,Florence,0.095238095,153.6409265
Florence,Bologna,0.093491124,50.87901401
Bologna,Padua,0.0384,67.52007527
Padua,Venice,0.333333333,21.46928948
Venice,Spalato,0.001558846,243.1625751
Spalato,Venice,0.666666667,243.1625751
Venice,Vicenza,0.020265004,38.0752164
Vicenza,Verona,0.517985612,27.85186288
Verona,London,0.0875,658.615531
Naples,Florence,0.066582915,253.9211665
Florence,Venice,0.072781065,126.5001393
Oxford,Genoa,1,690.773941
Genoa,Pavia,0.008810573,54.84569915
Pavia,Milan,0.347826087,19.41530161
Milan,Padua,0.019067797,130.5754623
Padua,Venice,0.333333333,21.46928948
Venice,Ferrara,0.007794232,53.64094033
Ferrara,Ravenna,0.011235955,40.80775246
Ravenna,Rimini,0.189189189,30.69634868
Rimini,San Marino,0.04,9.884223523
San Marino,Loreto,0.5,66.39010192
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Posillipo,0.005862647,3.305613829
Posillipo,Capri,0.052631579,18.13803908
Capri,Rome,0.057142857,130.2573703
Rome,Siena,0.01523742,114.5740732
Siena,Pisa,0.019157088,53.74362267
Pisa,Lucca,0.150442478,10.77460619
Lucca,Florence,0.276470588,37.16537867
Florence,Bologna,0.093491124,50.87901401
Bologna,Modena,0.072,22.9030701
Modena,Parma,0.176100629,31.19027999
Parma,Turin,0.037037037,129.8435361
Turin,Geneva,0.023774146,108.605822
London,Florence,0.020304569,751.0318371
Florence,Rome,0.271005917,143.9430711
Rome,Constantinople,0.000354359,853.6352868
Constantinople,Smyrna,0.052631579,203.4996628
Smyrna,Florence,0.5,904.1577707
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Edinburgh,0.00041876,1308.124787
Naples,Rome,0.418341709,117.098718
Rome,Venice,0.075124026,245.0927118
Venice,Ireland,0.001558846,993.857556
